,2021-04-01T06:00:00.000000000,2021-04-01T12:00:00.000000000,2021-04-01T18:00:00.000000000,2021-04-02T00:00:00.000000000,2021-04-02T06:00:00.000000000,2021-04-02T12:00:00.000000000,2021-04-02T18:00:00.000000000,2021-04-03T00:00:00.000000000,2021-04-03T06:00:00.000000000,2021-04-03T12:00:00.000000000,2021-04-03T18:00:00.000000000,2021-04-04T00:00:00.000000000
0.0,,,,,,,,,,,,
1.0,,,,,,,,,,,,
2.0,-0.00022655176153437828,-1.4083169574393636e-05,0.00019599489314629773,-8.416244738006519e-05,3.2321661839408166e-05,6.831257662393341e-05,1.9157433016950916e-05,0.00010735777945361974,-9.879631498025255e-06,3.607425458073513e-05,-2.8358849161343392e-05,1.2022257301568995e-05
3.0,-0.00018853431747266618,-0.000177659206680798,0.00020103985514396041,4.512782145381525e-05,-0.00020033145168745568,0.00013389186863851455,0.00021307333088050755,-3.5589855183570044e-05,-0.0001626824068721841,1.366592471729102e-05,0.00014933627809431938,5.494673989588042e-05
5.0,0.00015057178735313468,-8.827106365626685e-06,5.917474530352322e-05,6.883205249941497e-05,1.7260637410081396e-05,-9.644633519351962e-05,3.796353959323206e-05,9.929442094718065e-05,8.954839874859162e-05,-1.3939426312690764e-05,7.628008422778502e-05,3.3493726491439014e-05
7.0,4.613037221686691e-05,6.147576626453787e-05,-2.7287935192127522e-05,4.542389867605203e-05,3.739533673215833e-05,7.881402558250384e-06,-9.142063030706143e-06,5.943439428465013e-05,0.0001351708154023549,-1.717238724999981e-05,4.434914029392273e-05,-2.417351490237726e-06
10.0,4.501087095024506e-05,3.748345860349384e-05,-5.5883834416664256e-05,4.7812388805385974e-05,1.0041587197898633e-05,3.080142290622685e-05,2.300481107422442e-05,4.634597232994991e-06,2.460884776201522e-05,-4.730394583223146e-05,4.00098340043097e-05,5.7284111303645644e-05
15.0,7.343284092875153e-05,8.397928585298514e-05,6.9247734879062755e-06,-5.975221520070685e-06,7.622726650757289e-06,6.4399540108933e-05,5.980732159071175e-05,-1.7282978660246465e-05,-1.402908457431844e-05,-5.155736256697319e-05,-9.85641042368894e-05,-1.5048385631032111e-05
20.0,7.327312689015298e-05,0.00011591334087565888,5.2521765134326564e-05,2.796477377922392e-06,-1.3878227762394275e-05,3.009234553806636e-05,7.054078864063866e-05,3.204596176267257e-05,3.882495674265014e-06,6.487156815899232e-06,-0.00010967659773243462,-6.695977123925897e-05
30.0,9.665003871883075e-05,8.133852586382609e-05,1.1250855722091016e-05,3.8072738872934804e-05,8.714687257257983e-05,-1.858279225852004e-05,-5.926559914528724e-05,8.720294856768097e-06,5.1924297115625234e-05,6.334645609046367e-05,2.7867467799340583e-06,-2.5132792520591114e-05
40.0,0.00011451831395899905,8.980253473302462e-05,-1.908919858822353e-05,-1.950799065821453e-05,0.00012212195415258915,5.607603757997094e-05,-5.559289380813546e-05,-3.045691981815769e-05,7.118813362652332e-05,7.957696329346602e-05,1.6233406857354453e-05,-4.5847485802703644e-05
50.0,0.00011718114386552832,0.00013502268460080023,3.14998419874845e-05,-4.496456481459656e-05,5.555052456202048e-05,0.00012526662397869845,2.4073792652863788e-05,-4.65824598932719e-05,9.416099242053956e-06,9.108896346659746e-05,5.601552066978069e-05,-2.4990634983325408e-05
70.0,2.7705204957953048e-05,7.403226835662006e-05,0.00014473399215179366,4.46421478270698e-05,-3.0214488283586486e-05,7.355396716607873e-05,0.0001225500736959054,1.85236860919275e-05,-3.98883380653678e-05,1.4113169461129235e-05,8.813135927654679e-05,6.952901711247148e-05
100.0,2.8838004930728752e-05,1.5829957652678396e-05,9.294589323219971e-05,0.00011590497536873156,2.008195990778334e-05,-4.947907211414757e-06,5.7498746018945354e-05,6.73944539414746e-05,1.110672229067967e-05,-1.818266767660179e-05,-1.4446394973552481e-05,2.8902779717182176e-05
150.0,4.61881884371337e-05,1.851831043198714e-05,4.0441239169122544e-05,6.227084762910091e-05,5.4321485409756997e-05,1.092213216876734e-05,1.384941338804528e-05,-3.1589904001527966e-07,-2.22045923771314e-05,-4.921244955479935e-05,-3.489694594147278e-05,4.9896417110971466e-05
200.0,1.1093266201000764e-05,5.401712799857515e-06,1.6178356970674584e-05,3.9188877461934985e-05,5.1922786741145486e-05,1.0669477683236363e-05,-4.245078894605567e-06,6.857082283098564e-06,-1.780511187763513e-05,-4.6328258542737405e-05,-1.7912775853632236e-05,3.6908957544231616e-05
250.0,-6.428512827323302e-07,-4.491300087232882e-06,1.4922121264500681e-05,2.9220384991210313e-05,5.0454217673755426e-05,2.375082536165068e-05,2.0232878501956557e-05,9.506739804426875e-06,-1.458598534252026e-05,-3.442718374950332e-05,-1.221196850084084e-05,3.6025786787616715e-05
300.0,-1.3746164284130282e-05,1.5871428819473285e-06,-1.6186842545720491e-06,4.0082968142194475e-06,2.903041912379257e-05,2.061648184125449e-05,1.3226382337858276e-05,-6.634947475268114e-06,-1.716407987750156e-05,-1.8631085804372056e-05,-1.1088922191236415e-06,1.7683160809612703e-05
350.0,-1.06478510755772e-06,4.265462331929711e-06,-8.330150352235953e-07,7.673217678405236e-06,1.877489751923553e-05,2.094901445052277e-05,1.560223304492628e-05,-5.35585574198679e-06,-2.130587685268688e-05,-1.2926707805268143e-05,2.9690912055189443e-06,1.6888036720997955e-05
400.0,-6.366012160984785e-06,3.6965218916344882e-06,8.341946359886281e-07,1.5187056357348339e-05,2.4171423198979545e-05,1.0454203519392266e-05,1.073628127248737e-05,-2.4850238950686227e-06,-1.490930602257184e-05,-8.205538584632525e-06,6.429724285191945e-06,1.8793072902343174e-05
450.0,-7.660994175848545e-06,-9.507003368800243e-06,-1.1013900877839238e-06,1.2478265652069485e-05,1.3060248442182803e-05,1.9153347367393453e-06,6.37503655853373e-06,-1.2193420383373924e-06,-9.624110418692713e-06,-1.0178444049376816e-05,3.262984708485022e-08,1.5135249509636181e-05
500.0,3.127482530857865e-06,-4.438186876089301e-06,-1.593426109074285e-06,1.6842277381212538e-05,3.196016147885025e-06,-9.890512642501371e-06,3.939093628074239e-06,1.7767978571861336e-06,-7.190127631947097e-06,-1.1400117456175319e-05,-7.1388352144970984e-06,1.1028526863724721e-05
550.0,8.99467529121562e-06,-6.663862562545142e-06,2.7875384221426774e-06,1.959904277150832e-05,2.552001963156855e-06,-1.464444259798279e-05,3.977914397309718e-06,8.78332606768746e-06,-3.073404072560231e-06,-8.711304799048306e-06,-6.701481658654281e-06,1.8000071173631608e-05
600.0,6.76944452445636e-06,-1.6172189421296394e-05,-5.510112739280324e-08,2.3385727647030294e-05,1.4470699522839709e-05,-5.556047011702175e-06,6.369132939694096e-06,1.0408468567514446e-05,4.401616477032933e-06,1.5043223830797474e-06,1.1437954137398064e-06,2.4212183548820855e-05
650.0,7.409805122612051e-06,-1.8831211837090495e-05,3.2268293380948716e-06,1.831916100425673e-05,2.0952203724041684e-05,3.618695507308595e-06,1.0097779690105463e-05,1.4766517850505001e-05,1.1847680345677402e-05,3.960576586276605e-06,1.18243783925209e-05,2.8215867641788145e-05
700.0,6.39011452854166e-06,-1.5536133802290474e-05,4.671830937483231e-06,1.3143262725123643e-05,2.4920068027324034e-05,8.878047517863747e-06,1.5032031310308199e-05,1.586944943332067e-05,1.8225522743381445e-05,6.293948681358101e-06,1.3491658931661288e-05,2.812667472222861e-05
750.0,4.105539690442426e-06,-9.562783057756682e-06,7.4517664751480885e-06,1.43745531430225e-05,2.6724801357686453e-05,1.6113792159446132e-05,1.602892764271749e-05,1.3802967332959078e-05,1.507354032980204e-05,8.15728749934763e-06,1.3758360487473083e-05,3.124632146981915e-05
800.0,6.940245653446309e-06,-5.4646724204113e-06,7.903972809507166e-06,1.4689684750253865e-05,2.637374178276529e-05,2.249038683548899e-05,2.1928179564823806e-05,1.4050669006965244e-05,1.596706617398341e-05,1.2290197342667297e-05,1.7744732612906804e-05,3.053111259938593e-05
850.0,-3.550964924845162e-07,4.809853209140993e-06,1.0731593149008274e-05,2.485453846113263e-06,2.214428404359791e-05,2.8294408087170356e-05,3.0345757369326324e-05,1.708907954413567e-05,2.103344459193362e-05,3.263580911147625e-05,3.225376029070144e-05,2.7032347922044302e-05
900.0,4.808378638213036e-06,1.4889292177856666e-05,2.048504327749308e-05,-5.507674904283033e-06,8.483169516181787e-06,2.268667641567485e-05,2.8859959766264194e-05,8.088363883832782e-06,1.1857086301582708e-05,2.766543356617927e-05,2.7661745268358208e-05,7.714973612796703e-06
925.0,1.2045087429875166e-05,2.2273534950927954e-05,1.9569349490029156e-05,-5.2734812664851585e-06,1.3567176401029853e-05,3.215198436309988e-05,2.5919725979369475e-05,2.877244751334298e-06,1.3499924044049732e-05,3.280033783672126e-05,2.6651190135743182e-05,-1.7593546926612445e-06
950.0,2.176352569192325e-05,3.086020406165843e-05,1.950542063949871e-05,-2.3660104214662784e-06,1.8358673710195605e-05,3.9991198352462734e-05,2.484444166471804e-05,1.4408414948300281e-06,1.61789080385089e-05,3.878730038297042e-05,2.664715351938955e-05,-3.873132616259303e-06
975.0,2.6674790752957203e-05,3.367673832270064e-05,1.9061757401105425e-05,-1.9836827907641095e-06,2.2453837938073115e-05,4.4348264087431254e-05,2.5413788692784772e-05,1.7061810436309345e-06,1.8897533881267183e-05,4.15601931723535e-05,2.574120957558405e-05,-4.424473128815426e-06
1000.0,2.8260602471291677e-05,3.46611376554481e-05,1.8418771706338367e-05,-2.025512964365847e-06,2.5092676769324334e-05,4.5495352447983034e-05,2.563531355666326e-05,2.000694977690419e-06,2.0653942208045038e-05,4.296274901305638e-05,2.543349128407519e-05,-5.167143138697082e-06
